Date,Volume,Open,Close,High,Low
2021-08-10 04:00:00,35130796.0,369.26,366.84,369.56,365.62
2021-08-11 04:00:00,34249812.0,368.14,366.21,368.65,364.84
2021-08-12 04:00:00,25634877.0,365.69,367.53,367.9,364.295
2021-08-13 04:00:00,19185740.0,367.89,368.82,369.16,367.38
2021-08-16 04:00:00,35044107.0,367.67,368.98,369.02,363.7
2021-08-17 04:00:00,44745452.0,366.15,365.73,367.15,363.23
2021-08-18 04:00:00,38512140.0,365.18,362.21,366.62,361.865
2021-08-19 04:00:00,48499368.0,360.22,363.96,365.68,359.96
2021-08-20 04:00:00,39309834.0,365.06,367.73,368.14,364.74
2021-08-23 04:00:00,33974744.0,368.8,373.23,373.935,368.79
2021-08-24 04:00:00,21729663.0,373.84,374.37,374.99,373.36
2021-08-25 04:00:00,20441880.0,374.63,374.8,375.39,373.855
2021-08-26 04:00:00,28882325.0,373.92,372.42,374.62,371.97
2021-08-27 04:00:00,27091549.0,373.07,376.04,376.56,372.57
2021-08-30 04:00:00,27286465.0,376.85,380.26,380.76,376.83
2021-08-31 04:00:00,29618975.0,380.51,379.95,380.579,378.36
2021-09-01 04:00:00,28125611.0,381.04,380.58,382.71,380.37
2021-09-02 04:00:00,25398535.0,381.97,380.4,382.31,379.15
2021-09-03 04:00:00,24394937.0,379.22,381.57,381.98,379.2003
2021-09-07 04:00:00,24285573.0,381.68,382.11,382.778,380.4882
2021-09-08 04:00:00,32699159.0,381.93,380.78,381.93,378.45
2021-09-09 04:00:00,29397578.0,381.01,379.47,382.15,379.22
2021-09-10 04:00:00,40235505.0,381.23,376.59,381.97,376.245
2021-09-13 04:00:00,49795907.0,378.99,376.33,379.43,374.22
2021-09-14 04:00:00,42891984.0,377.86,375.26,378.61,374.28
2021-09-15 04:00:00,34798442.0,375.73,378.05,378.41,373.37
2021-09-16 04:00:00,35132243.0,376.68,378.31,378.9,374.695
2021-09-17 04:00:00,60852017.0,377.82,373.83,377.87,372.76
2021-09-20 04:00:00,75914939.0,367.46,365.7,369.25,360.93
2021-09-21 04:00:00,41795483.0,367.58,366.15,368.81,364.99
2021-09-22 04:00:00,46959420.0,367.09,369.57,371.07,365.9584
2021-09-23 04:00:00,44627002.0,370.76,372.98,374.04,370.099
2021-09-24 04:00:00,35722550.0,370.65,373.33,373.76,370.27
2021-09-27 04:00:00,43053079.0,370.2,370.35,371.2516,367.73
2021-09-28 04:00:00,97687632.0,365.67,359.87,370.302,359.35
2021-09-29 04:00:00,58069549.0,361.17,359.28,363.37,358.635
2021-09-30 04:00:00,62908591.0,360.97,357.96,362.68,357.1
2021-10-01 04:00:00,56342058.0,358.6,360.18,361.25,354.38
2021-10-04 04:00:00,76610805.0,358.52,352.62,358.86,350.32
2021-10-05 04:00:00,46934904.0,353.71,357.38,359.69,353.48
2021-10-06 04:00:00,56790751.0,354.08,359.67,359.95,353.15
2021-10-07 04:00:00,39289172.0,362.8,362.97,365.69,362.25
2021-10-08 04:00:00,42701615.0,364.08,361.16,364.3166,360.61
2021-10-11 04:00:00,34835182.0,359.58,358.39,363.2,358.3
2021-10-12 04:00:00,43679451.0,359.88,357.14,360.33,356.48
2021-10-13 04:00:00,39983795.0,359.51,360.0,360.69,357.43
2021-10-14 04:00:00,43200717.0,363.69,366.63,366.85,363.01
2021-10-15 04:00:00,40379978.0,367.88,368.94,369.06,366.82
2021-10-18 04:00:00,34270514.0,367.61,372.65,372.87,366.99
2021-10-19 04:00:00,29031763.0,373.75,375.47,375.52,372.6974
2021-10-20 04:00:00,31365337.0,375.94,374.98,376.565,373.46
2021-10-21 04:00:00,25365277.0,374.16,377.27,377.47,373.85
2021-10-22 04:00:00,36275822.0,375.98,374.1,376.97,372.385
2021-10-25 04:00:00,32332404.0,375.56,377.93,378.87,373.56
2021-10-26 04:00:00,47171279.0,380.23,379.12,382.71,377.905
2021-10-27 04:00:00,45710196.0,379.58,380.0,383.15,379.31
2021-10-28 04:00:00,38007005.0,381.95,384.22,384.48,381.155
2021-10-29 04:00:00,37310116.0,381.06,386.11,386.28,380.7
2021-11-01 04:00:00,30765303.0,386.56,387.43,387.56,384.42
